iter	Passed	Remaining
0	0	871
1	1	812
2	2	779
3	3	755
4	3	749
5	4	741
6	5	730
7	5	731
8	6	725
9	7	720
10	8	719
11	8	717
12	9	714
13	10	711
14	10	709
15	11	705
16	12	705
17	12	701
18	13	697
19	14	701
20	14	699
21	15	698
22	16	698
23	17	697
24	18	706
25	19	736
26	20	745
27	21	747
28	22	747
29	23	749
30	23	747
31	24	744
32	25	742
33	26	739
34	26	737
35	27	735
36	28	735
37	29	734
38	29	732
39	30	729
40	31	726
41	31	724
42	32	724
43	33	724
44	34	722
45	34	721
46	35	720
47	36	718
48	36	716
49	37	715
50	38	714
51	39	712
52	39	711
53	40	710
54	41	709
55	42	708
56	42	706
57	43	705
58	44	703
59	44	702
60	45	701
61	46	699
62	46	696
63	47	694
64	48	693
65	48	693
66	49	692
67	50	690
68	51	690
69	51	689
70	52	688
71	53	686
72	54	686
73	54	684
74	55	683
75	56	682
76	56	682
77	57	680
78	58	679
79	59	678
80	59	677
81	60	677
82	60	672
83	61	672
84	62	676
85	64	680
86	64	680
87	65	681
88	66	680
89	67	679
90	67	678
91	68	676
92	69	675
93	70	674
94	70	673
95	71	673
96	72	672
97	72	670
98	73	669
99	74	667
100	74	666
101	75	664
102	76	663
103	76	661
104	77	660
105	78	658
106	78	657
107	79	655
108	80	654
109	80	652
110	81	651
111	81	650
112	82	648
113	83	647
114	84	646
115	84	645
116	85	642
117	85	641
118	86	640
119	87	638
120	87	638
121	88	636
122	89	635
123	89	634
124	90	632
125	91	631
126	91	629
127	92	628
128	92	627
129	93	626
130	94	625
131	94	624
132	95	623
133	96	622
134	96	621
135	98	625
136	99	625
137	100	624
138	100	623
139	101	622
140	102	621
141	102	619
142	103	618
143	103	618
144	104	617
145	105	618
146	107	623
147	108	623
148	109	623
149	110	624
150	111	624
151	112	626
152	113	626
153	113	626
154	114	626
155	115	625
156	116	624
157	117	624
158	117	623
159	118	622
160	118	620
161	119	619
162	120	618
163	121	617
164	121	616
165	122	616
166	123	615
167	124	614
168	124	614
169	125	613
170	126	612
171	127	611
172	127	610
173	128	609
174	129	608
175	129	607
176	130	606
177	131	606
178	132	605
179	132	604
180	133	604
181	134	604
182	135	603
183	136	603
184	136	603
185	137	602
186	138	602
187	139	601
188	140	600
189	140	600
190	141	599
191	142	598
192	143	598
193	143	597
194	144	596
195	145	595
196	145	593
197	146	592
198	147	591
199	148	594
200	149	596
201	151	597
202	152	597
203	152	596
204	153	595
205	154	594
206	154	593
207	155	592
208	156	590
209	156	589
210	157	588
211	158	587
212	158	586
213	159	585
214	160	584
215	160	583
216	161	582
217	161	580
218	162	580
219	163	579
220	164	578
221	164	577
222	165	576
223	165	574
224	166	573
225	167	572
226	167	571
227	168	570
228	169	569
229	169	568
230	170	567
231	171	566
232	171	565
